"id","theta_network","theta_unit1","theta_unit2","theta_unit3"
"JEJARING-01",0.999999999999999,0.703807416444813,0.977056079131207,1
"JEJARING-02",0.776979654811417,0.862320165384573,0.788624001448628,0.987746699777796
"JEJARING-03",0.882382262506545,0.976934278492142,0.897233427956816,0.843516439039833
"JEJARING-04",0.824885318072879,0.664029799926543,0.703747832976868,1
"JEJARING-05",0.872547743877934,0.892638197215494,0.700317097981921,0.713682831220466
"JEJARING-06",0.902885802366315,0.787628146523819,0.804432372368663,0.969016962722993
"JEJARING-07",0.997315844153715,1,0.887489635968274,0.931161226986263
"JEJARING-08",1,0.845735037231857,1,0.628823231600552
"JEJARING-09",1,1,0.82361283102349,1
"JEJARING-10",0.954047747539538,0.622148541659064,1,0.972108273673703
"JEJARING-11",1,1,0.879693241753689,0.946452011029746
"JEJARING-12",0.927940915433648,0.827677293399542,0.967867070124202,0.670764702525524
"JEJARING-13",0.888117069869387,0.967004514951585,0.791674746719764,0.975364146014615
"JEJARING-14",1,0.895421908304439,0.706918395138206,1
"JEJARING-15",0.999999999999925,1,0.820383260808906,1
"JEJARING-16",1,0.991407977692715,1,0.95826089651331
"JEJARING-17",0.767709421601167,0.64434963679458,0.756326662180273,0.877923910099834
"JEJARING-18",0.95562801203694,0.723297810561232,0.965778952448805,0.977345784656479
"JEJARING-19",0.852247714866477,0.852247714867231,0.740011580775913,0.791356175632707
"JEJARING-20",0.808743790845974,0.865537277500053,0.606377819084632,0.843090267567066
"JEJARING-21",0.845532539373642,1,0.943073305145136,0.840692109693471
"JEJARING-22",0.875376564981,0.799601256108248,0.793313012648285,1
"JEJARING-23",0.902241907180896,0.986708796384346,0.964114267726451,1
"JEJARING-24",0.986267590710615,0.824028236878099,1,0.756974657230719
"JEJARING-25",1.00000000000032,1,1,0.790438118666909
"JEJARING-26",0.959075015839154,0.896468200117403,0.883025158715513,0.976420712493508
"JEJARING-27",0.821654845008983,1,0.637874491268245,0.694325860974207
"JEJARING-28",0.962684068565811,0.962684068566281,0.850925611698192,0.984236836908549
"JEJARING-29",0.913338010114674,1,0.988194766121451,0.952009529464129
"JEJARING-30",0.898331719449069,0.89833171944919,0.855731225296427,0.691358821673218
"JEJARING-31",0.872825726515017,0.994908641653026,0.869645838684808,0.872825726515855
"JEJARING-32",0.988484233771735,0.988484233772804,0.951042879568568,0.954335827896497
"JEJARING-33",1,0.70059880239521,0.882088089430596,1
"JEJARING-34",0.982810530874003,1,0.876778077789138,0.819433200429236
"JEJARING-35",0.851546902828071,0.859250624227345,1,0.684206457597774
"JEJARING-36",0.786676543301612,0.890290922815731,0.94507780265745,0.816567828492728
"JEJARING-37",0.98736137132108,0.699329749992032,0.984548326272741,0.987361371321857
"JEJARING-38",0.925171014993625,0.802262815425358,0.708427289632225,0.915479425073128
"JEJARING-39",0.707117474365346,0.707117474366146,0.768967646919092,0.644809012974322
"JEJARING-40",0.999999999999981,0.813678851631987,0.835006583807045,1
