"id","period","fte","hours","visits","completed","key"
"LEAN-01","sebelum",111.061041778885,2063.97958248854,2928,2412,"LEAN-01_sebelum"
"LEAN-02","sebelum",57.1887088241056,1722.35780926421,1918,1372,"LEAN-02_sebelum"
"LEAN-03","sebelum",123.801526217721,2185.59023011476,4170,3921,"LEAN-03_sebelum"
"LEAN-04","sebelum",71.295234025456,2231.18650554679,2415,2210,"LEAN-04_sebelum"
"LEAN-05","sebelum",91.0674379440024,1411.07532908209,2378,1697,"LEAN-05_sebelum"
"LEAN-06","sebelum",61.8907349184155,1525.89698131196,1871,1650,"LEAN-06_sebelum"
"LEAN-07","sebelum",113.054644223303,2042.30960765854,3465,2849,"LEAN-07_sebelum"
"LEAN-08","sebelum",58.5100826341659,2431.3347405754,3425,2793,"LEAN-08_sebelum"
"LEAN-09","sebelum",136.554433172569,1484.71977431327,3852,3488,"LEAN-09_sebelum"
"LEAN-10","sebelum",144.543692236766,1441.24591830187,3443,3042,"LEAN-10_sebelum"
"LEAN-11","sebelum",75.4034000681713,2911.23160365969,3707,2616,"LEAN-11_sebelum"
"LEAN-12","sebelum",100.897692656144,2613.7215861585,3762,3417,"LEAN-12_sebelum"
"LEAN-13","sebelum",64.1524398233742,1406.06425059959,2606,1897,"LEAN-13_sebelum"
"LEAN-14","sebelum",115.352639369667,1960.87413607165,3206,2627,"LEAN-14_sebelum"
"LEAN-15","sebelum",53.7462872685865,2424.95413874276,2905,2572,"LEAN-15_sebelum"
"LEAN-16","sebelum",56.3824578886852,1565.18806270324,2271,1648,"LEAN-16_sebelum"
"LEAN-17","sebelum",51.4672187156975,1356.84250867926,2215,2046,"LEAN-17_sebelum"
"LEAN-18","sebelum",135.459885676391,1575.14745639637,3761,3308,"LEAN-18_sebelum"
"LEAN-19","sebelum",72.6868159137666,2332.18445987441,3214,2899,"LEAN-19_sebelum"
"LEAN-20","sebelum",55.7715183356777,2741.98834164999,3538,2494,"LEAN-20_sebelum"
"LEAN-21","sebelum",65.8182133454829,1482.00883883983,2421,1779,"LEAN-21_sebelum"
"LEAN-22","sebelum",106.618107995018,1808.99353218265,3325,2562,"LEAN-22_sebelum"
"LEAN-23","sebelum",59.55307520926,2155.55866733193,3295,2325,"LEAN-23_sebelum"
"LEAN-24","sebelum",110.81061991863,2303.05125438608,2956,2418,"LEAN-24_sebelum"
"LEAN-25","sebelum",91.8426857562736,1798.63304430619,2563,2279,"LEAN-25_sebelum"
"LEAN-26","sebelum",142.82837617211,2646.47150659002,3770,3071,"LEAN-26_sebelum"
"LEAN-27","sebelum",94.8600390926003,1707.59449414909,2634,2036,"LEAN-27_sebelum"
"LEAN-28","sebelum",99.2922387085855,2888.68344929069,3419,2479,"LEAN-28_sebelum"
"LEAN-29","sebelum",127.572611835785,1800.10829530656,4125,3417,"LEAN-29_sebelum"
"LEAN-30","sebelum",131.634444301017,1529.28928588517,3920,2947,"LEAN-30_sebelum"
"LEAN-01","sesudah",111.061041778885,2063.97958248854,3221,2701,"LEAN-01_sesudah"
"LEAN-02","sesudah",57.1887088241056,1722.35780926421,2110,1537,"LEAN-02_sesudah"
"LEAN-03","sesudah",123.801526217721,2185.59023011476,4587,4392,"LEAN-03_sesudah"
"LEAN-04","sesudah",71.295234025456,2231.18650554679,2656,2475,"LEAN-04_sesudah"
"LEAN-05","sesudah",91.0674379440024,1411.07532908209,2616,1901,"LEAN-05_sesudah"
"LEAN-06","sesudah",61.8907349184155,1525.89698131196,2058,1848,"LEAN-06_sesudah"
"LEAN-07","sesudah",113.054644223303,2042.30960765854,3812,3191,"LEAN-07_sesudah"
"LEAN-08","sesudah",58.5100826341659,2431.3347405754,3768,3128,"LEAN-08_sesudah"
"LEAN-09","sesudah",136.554433172569,1484.71977431327,4237,3907,"LEAN-09_sesudah"
"LEAN-10","sesudah",144.543692236766,1441.24591830187,3787,3407,"LEAN-10_sesudah"
